ID,CanInterrupt
int,bool
n,n
索引（发动者需要左移16位，位或，校验者需要得到ID）,是否可以打断
65537,0
65538,0
65539,0
65541,0
65543,0
65544,0
65545,0
65547,0
65550,0
65556,0
65559,0
65562,0
65568,0
65574,0
65580,0
65586,0
65592,0
65598,0
65604,0
65606,0
65607,0
65608,0
65610,0
65616,0
131073,1
131074,1
131075,1
131077,0
131079,0
131080,0
131081,1
131083,0
131086,0
131092,0
131095,0
131098,0
131104,0
131110,0
131116,0
131122,1
131128,1
131134,0
131140,1
131142,1
131143,1
131144,0
131146,0
131152,0
196609,0
196610,0
196611,0
196613,0
196615,0
196616,0
196617,0
196619,0
196622,0
196628,0
196631,0
196634,0
196640,0
196646,0
196652,0
196658,0
196664,0
196670,0
196676,0
196678,0
196679,0
196680,0
196682,0
196688,0
327681,1
327682,1
327683,1
327685,0
327687,0
327688,0
327689,1
327691,0
327694,0
327700,0
327703,0
327706,0
327712,0
327718,0
327724,0
327730,1
327736,1
327742,0
327748,1
327750,1
327751,1
327752,0
327754,0
327760,0
458753,0
458754,0
458755,0
458757,0
458759,0
458760,0
458761,0
458763,0
458766,0
458772,0
458775,0
458778,0
458784,0
458790,0
458796,0
458802,0
458808,0
458814,0
458820,0
458822,0
458823,0
458824,0
458826,0
458832,0
524289,1
524290,1
524291,1
524293,1
524295,1
524296,1
524297,1
524299,0
524302,0
524308,0
524311,0
524314,0
524320,0
524326,1
524332,0
524338,1
524344,1
524350,0
524356,1
524358,1
524359,1
524360,0
524362,1
524368,0
589825,0
589826,0
589827,0
589829,0
589831,0
589832,0
589833,0
589835,0
589838,0
589844,0
589847,0
589850,0
589856,0
589862,0
589868,0
589874,0
589880,0
589886,0
589892,0
589894,0
589895,0
589896,0
589898,0
589904,0
720897,1
720898,1
720899,1
720901,1
720903,1
720904,1
720905,1
720907,0
720910,0
720916,0
720919,0
720922,0
720928,0
720934,1
720940,0
720946,1
720952,1
720958,0
720964,1
720966,1
720967,1
720968,0
720970,1
720976,0
917505,0
917506,0
917507,0
917509,0
917511,0
917512,0
917513,0
917515,0
917518,0
917524,0
917527,0
917530,0
917536,0
917542,0
917548,0
917554,0
917560,0
917566,0
917572,0
917574,0
917575,0
917576,0
917578,0
917584,0
1310721,0
1310722,0
1310723,0
1310725,0
1310727,0
1310728,0
1310729,0
1310731,0
1310734,0
1310740,0
1310743,0
1310746,0
1310752,0
1310758,0
1310764,0
1310770,0
1310776,0
1310782,0
1310788,0
1310790,0
1310791,0
1310792,1
1310794,0
1310800,0
1507329,0
1507330,0
1507331,0
1507333,0
1507335,0
1507336,0
1507337,0
1507339,0
1507342,0
1507348,0
1507351,0
1507354,0
1507360,0
1507366,0
1507372,0
1507378,0
1507384,0
1507390,0
1507396,0
1507398,0
1507399,0
1507400,1
1507402,0
1507408,0
1703937,0
1703938,0
1703939,0
1703941,0
1703943,0
1703944,0
1703945,0
1703947,0
1703950,0
1703956,0
1703959,0
1703962,0
